City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Konya Province,38.1667,32.5,44.08,21,0,3.13,TR,1635020247
Rudnyy,52.9594,63.1206,46.63,75,100,14.36,KZ,1635020248
New Norfolk,-42.7826,147.0587,49.66,82,100,4.0,AU,1635020248
Port Lincoln,-34.7333,135.8667,53.01,79,1,9.42,AU,1635020248
Chara,56.9064,118.2631,32.88,58,100,1.25,RU,1635020248
Jega,12.2175,4.3792,80.85,65,100,3.62,NG,1635020249
Terme,41.2092,36.9739,57.96,72,0,4.43,TR,1635020249
Dicabisagan,17.0818,122.4157,76.95,89,100,4.92,PH,1635020249
Grindavik,63.8424,-22.4338,46.87,93,75,11.5,IS,1635020250
Sabha,27.0377,14.4283,83.05,15,56,11.41,LY,1635020250
Ekuvukeni,-28.4675,30.1551,62.22,71,25,12.66,ZA,1635020250
Katherine,-14.4667,132.2667,82.72,61,5,1.14,AU,1635020251
Aragarças,-15.8975,-52.2508,93.85,46,40,9.22,BR,1635020248
Faya,18.3851,42.4509,60.91,28,2,5.64,SA,1635020251
Neuquén,-38.9516,-68.0591,73.29,17,0,17.27,AR,1635020233
Labuhan,-6.8844,112.2051,79.43,80,97,8.68,ID,1635020251
Noshiro,40.2039,140.0242,54.28,65,100,6.22,JP,1635020252
Leeton,-34.5667,146.4,46.89,84,0,10.65,AU,1635020252
Wadi Maliz,36.4681,8.5495,69.46,86,64,2.98,TN,1635020252
Grand Gaube,-20.0064,57.6608,74.37,75,99,3.0,MU,1635020253
Pampierstad,-27.7832,24.6877,55.92,57,0,17.69,ZA,1635020253
Vredendal,-31.6683,18.5012,58.17,72,0,7.07,ZA,1635020253
Maun,-19.9833,23.4167,78.76,25,20,3.44,BW,1635020254
Hūn,29.1268,15.9477,82.44,19,83,10.13,LY,1635020254
Yulara,-25.2406,130.9889,64.24,39,43,9.22,AU,1635020254
Eenhana,-17.4667,16.3333,82.15,19,6,6.4,NA,1635020255
Whitehorse,60.7161,-135.0538,43.57,56,75,10.0,CA,1635020115
Talaya,61.3833,152.75,1.92,97,100,4.14,RU,1635020255
Safaga,26.7292,33.9365,77.9,47,0,15.03,EG,1635019968
Barquisimeto,10.0739,-69.3228,75.83,73,50,10.36,VE,1635020255
Fairbanks,64.8378,-147.7164,35.92,84,1,0.0,US,1635020256
Mercedes,-34.6515,-59.4307,73.51,35,40,15.99,AR,1635020099
Berlevåg,70.8578,29.0864,36.09,59,100,20.54,NO,1635020256
Asău,46.4333,26.4,47.39,69,100,2.13,RO,1635020257
Teguise,29.0605,-13.564,68.22,64,75,16.11,ES,1635020257
Half Moon Bay,37.4636,-122.4286,69.22,64,1,1.01,US,1635020026
Murray Bridge,-35.1167,139.2667,52.68,91,0,2.86,AU,1635020257
Porterville,36.0652,-119.0168,68.59,48,1,0.0,US,1635020037
Iracoubo,5.4802,-53.2011,81.46,82,93,10.92,GF,1635020258
Killybegs,54.6333,-8.45,53.31,90,100,20.56,IE,1635020258
Savé,8.0425,2.486,74.1,91,99,5.68,BJ,1635020258
Mvuma,-19.2792,30.5283,77.41,38,72,1.48,ZW,1635020258
Adrar,20.5022,-10.0711,80.46,19,1,3.09,MR,1635020259
Guerrero Negro,27.9769,-114.0611,71.58,60,1,18.86,MX,1635020259
Woodward,36.4337,-99.3904,92.43,42,1,14.97,US,1635020259
Porbandar,21.6422,69.6093,81.52,60,100,13.09,IN,1635020260
Bol,13.4586,14.7147,86.76,40,5,12.26,TD,1635020260
Shenjiamen,29.9576,122.298,64.58,60,100,10.92,CN,1635020260
Yartsevo,55.0667,32.6964,40.26,89,100,12.82,RU,1635020261
